                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6152,                 1.5597,                 1.7708,                0.68027,                0.55285,                0.60564,                0.28061,                 1.8123,                 1.7951,                 2.1301,             0.00065625,             0.00065625,             0.00065625
                      1,                 1.5917,                 1.5447,                 1.7565,                0.61382,                0.54743,                0.50232,                0.19664,                 2.2077,                 2.1735,                 2.9299,               0.001282,               0.001282,               0.001282
                      2,                 1.6282,                 1.6222,                 1.7916,                0.67835,                0.60434,                 0.6237,                0.31001,                 1.8937,                 1.7682,                 2.3071,              0.0018665,              0.0018665,              0.0018665
                      3,                 1.5849,                 1.4997,                 1.7336,                0.75937,                 0.5664,                0.62192,                0.29659,                 1.9131,                 1.9152,                 2.2155,              0.0018144,              0.0018144,              0.0018144
                      4,                 1.5337,                 1.4426,                 1.6882,                0.66902,                0.59892,                0.62495,                 0.3216,                 1.8829,                 1.7579,                 2.3462,              0.0018144,              0.0018144,              0.0018144
                      5,                 1.5451,                 1.4256,                 1.6944,                0.67745,                0.61518,                0.63476,                0.34133,                 1.9208,                 1.6552,                 2.3699,              0.0017525,              0.0017525,              0.0017525
                      6,                 1.5026,                 1.3616,                 1.6606,                0.73669,                 0.5393,                 0.5776,                0.27807,                 1.9714,                 2.0899,                  2.448,              0.0016906,              0.0016906,              0.0016906
                      7,                 1.4906,                 1.3611,                 1.6599,                0.67298,                0.63957,                0.67475,                0.35424,                 1.7378,                 1.4853,                 1.9755,              0.0016287,              0.0016287,              0.0016287
                      8,                   1.47,                 1.3431,                 1.6431,                0.80318,                0.63037,                0.70287,                0.39159,                 1.7172,                 1.4393,                 2.0128,              0.0015669,              0.0015669,              0.0015669
                      9,                 1.4419,                 1.2646,                  1.611,                0.70029,                0.67751,                0.71643,                0.38485,                 1.6833,                 1.3771,                 1.8747,               0.001505,               0.001505,               0.001505
                     10,                  1.385,                 1.2034,                 1.5759,                0.80079,                0.63144,                0.71615,                0.40363,                 1.6269,                 1.4922,                  1.865,              0.0014431,              0.0014431,              0.0014431
                     11,                 1.4223,                 1.2502,                 1.5816,                0.77771,                0.70732,                0.74976,                0.40195,                 1.6086,                 1.2267,                 1.8244,              0.0013813,              0.0013813,              0.0013813
